,of,descricao,quantidade,quantidade precedencia,centro de trabalho,n.º maquinas
0,1600070142,"PL CC 8404/S11 1030X530X6,0 NE",7236.0,221.59,CNMLAMPL,0
1,1600068061,"PL CC 8405/S21 940X640X9,7 NE",2000.0,85.221,CNMLAMLX,1
2,1600060060,"PL CI 5404/PAK 915X610X5,0 NE",810.0,20.857499999999998,CNMLAMPL,2
3,1600064048,"PL CC 8405/S11 940X640X2,9 NE",2500.0,31.625,CNMLAMLX,1
4,1600071437,BL CC 8002/ORT 1000X500X210 NE,24.0,24.0,CNMRETBL,1
5,1600045416,"PL CC 8402/000 915X610X12,0 01",2210.0,141.44,CNMLAMPL,6
6,1600052603,"PL CC 8061/000 915X610X3,0 NE",100.0,1.576,CNMLAMPL,6
7,1600052607,"PL CC 8061/000 915X610X6,0 NE",52.0,1.639,CNMLAMPL,6
8,1600070402,BL CC 8061/ORT 915X610X200 NE,6.0,6.0,CNMRETBL,1
9,1600052605,"PL CC 8061/000 915X610X4,0 NE",76.0,1.581,CNMLAMPL,6
10,1600061275,"PL CC 8403/S21 950X650X75,0 01",40.0,40.0,CNMLAMLX,1
11,1600072471,"PL CC 8405/000 878X578X0,8 NE",3600.0,11.676599999999999,CNMLAMPL,6
12,1600074864,"PL CC 0086/S21 2000X900X6,0 NE",15.0,4.0,CNMLAMLX,1
13,1600052333,"PL CC 8405/000 1000X500X3,0 NE",14024.0,202.80799109686612,CNMLAMPL,6
14,1600068068,"PL CC 8702/S21 950X650X6,0 NE",167.0,5.729,CNMLAMLX,1
15,1600073848,"PL CC 8405/S11 1000X500X7,0 NE",1300.0,46.987,CNMLAMLX,1
16,1600072066,"PL CC 8405/S11 1000X500X7,0 NE",1300.0,46.987,CNMLAMLX,1
17,1600073159,"PL CC 8810/000 1030X530X10,0 NE",500.0,23.995,CNMLAMPL,6
18,1600073294,"PL CC 8810/000 1030X530X10,0 NE",38.0,1.748,CNMLAMPL,6
19,1600056542,"PL CC 8745/S21 800X600X9,7 NE",2325.0,119.15629695451975,CNMLAMLX,1
20,1600056798,PL CC 8872/000 940X640X195 NE,80.0,80.0,CNMSERPL,1
21,1600024689,"PL CC 8405/S21 940X640X44,0 01",120.0,120.0,CNMLAMLX,1
22,1600063535,"PL CC 9400/000 915X610X6,0 NE",520.0,15.84,CNMLAMPL,6
23,1600066068,"PL CC 8402/000 950X650X5,0 NE",13325.0,341.12,CNMLAMPL,6
24,1600069967,"PL CC 8822/PC2 1030X530X19,0 NE",10.0,1.162,CNMSERPL,1
25,1600073678,BL CC 8405/ORT 1000X500X210 NE,204.0,204.0,CNMRETBL,1
26,1600072474,"PL CC 8403/000 915X610X12,5 NE",6414.0,404.79466666666667,CNMLAMPL,6
27,1600073875,"PL CC 8810/000 1030X530X10,0 NE",10.0,0.47988888888888886,CNMLAMPL,6
28,1600052905,"PL CC 8403/000 915X610X12,5 NE",6750.0,340.875,CNMLAMPL,6
29,1600072155,BL CC 8002/ORT 915X610X250 NE,15.0,14.999999999999998,CNMRETBL,1
30,1600072153,BL CC 8004/ORT 1000X500X210 NE,2.0,2.0,CNMRETBL,1
31,1600063578,"PL CC 8004/S21 940X640X25,0 NE",323.0,36.966,CNMLAMLX,1
32,1600072157,BL CC 8004/ORT  810X610X250 NE,5.0,5.0,CNMRETBL,1
33,1600063625,"PL CC 9400/000 915X610X6,0 NE",1300.0,39.601,CNMLAMPL,6
34,1600072169,BL CC 8002/ORT 1000X500X210 NE,13.0,13.0,CNMRETBL,1
35,1600067018,"PL CC 8004/000 900X600X3,0 NE",400.0,4.965,CNMLAMPL,6
36,1600064974,"PL CC 8781/000  915X610X12,0 NE",216.0,15.568,CNMSERPL,1
37,1600067016,"PL CC 8004/000 900X600X4,0 NE",300.0,4.985,CNMLAMPL,6
38,1600068841,"PL CC 8004/000 1000X500X90,0 NE",9.0,4.635,CNMSERPL,1
39,1600068855,"PL CC 8747/000 1000X500X29,8 01",120.0,1.0,CNMSERPL,1
40,1600068839,"PL CC 8004/000 1000X500X45,0 NE",84.0,21.63,CNMSERPL,1
41,1600064829,"PL CC 8123/000 915X610X30,0 NE",16.0,2.736,CNMSERPL,1
42,1600066574,"PL CC M 8405/S21 940X640X9,7 NE",340.0,14.488,CNMLAMLX,1
43,1600066997,PL CC 8872/000 940X640X195 NE,80.0,80.0,CNMSERPL,1
44,1600065521,"PL CC 8123/000 950X650X38,0 01",20.0,5.13,CNMSERPL,1
45,1600074785,"PL CC M 8405/S21 940X640X9,7 NE",340.0,14.488,CNMLAMLX,1
46,1600064830,"PL CC 8457/P3M 920X615X30,0 WN",250.0,5.0,CNMSERPL,1
47,1600063738,"PL CC 8002/000 1030X530X15,5 01",2684.0,42.0,CNMLAMPL,6
