,,2ª anterior,,,
TransactionTypeGroup,Produções,,,,
,,,,,
Sum Quantity,,,,,
AreaSapWorkCenter,OrderName,OrderOperationStatus,Total,,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
,,,,#VALUE!,
